Hybridization Name	Cell culture experimental batch	Cell line	Gene Symbol	Controls
H1650_NTC_1_HH_7196801023_A.mean	1	H1650	Non-template control	Non-template control
H1650_NTC_2_HH_7196801023_B.mean	1	H1650	Non-template control	Non-template control
H1650_NTC_3_HH_7196801023_C.mean	1	H1650	Non-template control	Non-template control
H1650_Mock_1_HH_7196801023_D.mean	1	H1650	Mock transfection agent	Mock transfection agent
H1650_Mock_2_HH_7196801023_E.mean	1	H1650	Mock transfection agent	Mock transfection agent
H1650_Mock_3_HH_7196801023_F.mean	1	H1650	Mock transfection agent	Mock transfection agent
H1650_LKB1_1_HH_7196801023_G.mean	1	H1650	STK11	None
H1650_LKB1_2_HH_7196801023_H.mean	1	H1650	STK11	None
H1650_LKB1_3_HH_7196801023_I.mean	1	H1650	STK11	None
H1650_PIK3C3_1_HH_7196801023_J.mean	1	H1650	PIK3C3	None
H1650_PIK3C3_2_HH_7196801023_K.mean	1	H1650	PIK3C3	None
H1650_PIK3C3_3_HH_7196801023_L.mean	1	H1650	PIK3C3	None
H1650_TRUB2_1_HH_7196801025_A.mean	1	H1650	TRUB2	None
H1650_TRUB2_2_HH_7196801025_B.mean	1	H1650	TRUB2	None
H1650_TRUB2_3_HH_7196801025_C.mean	1	H1650	TRUB2	None
H1650_LEPR_1_HH_7196801025_D.mean	1	H1650	LEPR	None
H1650_LEPR_2_HH_7196801025_E.mean	1	H1650	LEPR	None
H1650_LEPR_3_HH_7196801025_F.mean	1	H1650	LEPR	None
H1650_P90S6K_1_HH_7196801025_G.mean	1	H1650	RPS6KA1	None
H1650_P90S6K_2_HH_7196801025_H.mean	1	H1650	RPS6KA1	None
H1650_P90S6K_3_HH_7196801025_I.mean	1	H1650	RPS6KA1	None
H1650_TSC2_1_HH_7196801025_J.mean	1	H1650	TSC2	None
H1650_TSC2_2_HH_7196801025_K.mean	1	H1650	TSC2	None
H1650_TSC2_3_HH_7196801025_L.mean	1	H1650	TSC2	None
H1650_TSC1_1_HH_7196801027_A.mean	1	H1650	TSC1	None
H1650_TSC1_2_HH_7196801027_B.mean	1	H1650	TSC1	None
H1650_TSC1_3_HH_7196801027_C.mean	1	H1650	TSC1	None
H1650_GSK3B_1_HH_7196801027_D.mean	1	H1650	GSK3B	None
H1650_GSK3B_2_HH_7196801027_E.mean	1	H1650	GSK3B	None
H1650_GSK3B_3_HH_7196801027_F.mean	1	H1650	GSK3B	None
H1650_GSK3A_1_HH_7196801027_G.mean	1	H1650	GSK3A	None
H1650_GSK3A_2_HH_7196801027_H.mean	1	H1650	GSK3A	None
H1650_GSK3A_3_HH_7196801027_I.mean	1	H1650	GSK3A	None
H1650_RAF1_1_HH_7196801027_J.mean	1	H1650	RAF1	None
H1650_RAF1_2_HH_7196801027_K.mean	1	H1650	RAF1	None
H1650_RAF1_3_HH_7196801027_L.mean	1	H1650	RAF1	None
H1650_Mock_1_HH_6235821022_A.mean	2	H1650	Mock transfection agent	Mock transfection agent
H1650_Mock_2_HH_6235821022_B.mean	2	H1650	Mock transfection agent	Mock transfection agent
H1650_Mock_3_HH_6235821022_C.mean	2	H1650	Mock transfection agent	Mock transfection agent
H1650_AllStar_1_HH_6235821022_D.mean	2	H1650	Non-template control	Non-template control
H1650_AllStar_2_HH_6235821022_E.mean	2	H1650	Non-template control	Non-template control
H1650_AllStar_3_HH_6235821022_F.mean	2	H1650	Non-template control	Non-template control
H1650_ITGB4_1_HH_6235821022_G.mean	2	H1650	ITGB4	None
H1650_ITGB4_2_HH_6235821022_H.mean	2	H1650	ITGB4	None
H1650_ITGB4_3_HH_6235821022_I.mean	2	H1650	ITGB4	None
H1650_mTOR_1_HH_6235821022_J.mean	2	H1650	MTOR	None
H1650_mTOR_2_HH_6235821022_K.mean	2	H1650	MTOR	None
H1650_mTOR_3_HH_6235821022_L.mean	2	H1650	MTOR	None
H1650_PRKAB1_1_HH_6235821039_A.mean	2	H1650	PRKAB1	None
H1650_PRKAB1_2_HH_6235821039_B.mean	2	H1650	PRKAB1	None
H1650_PRKAB1_3_HH_6235821039_C.mean	2	H1650	PRKAB1	None
H1650_BCL10_1_HH_6235821039_D.mean	2	H1650	BCL10	None
H1650_BCL10_2_HH_6235821039_E.mean	2	H1650	BCL10	None
H1650_BCL10_3_HH_6235821039_F.mean	2	H1650	BCL10	None
H1650_EGFR_1_HH_6235821039_G.mean	2	H1650	EGFR	None
H1650_EGFR_2_HH_6235821039_H.mean	2	H1650	EGFR	None
H1650_EGFR_3_HH_6235821039_I.mean	2	H1650	EGFR	None
H1650_ESPL1_1_HH_6235821039_J.mean	2	H1650	ESPL1	None
H1650_ESPL1_2_HH_6235821039_K.mean	2	H1650	ESPL1	None
H1650_ESPL1_3_HH_6235821039_L.mean	2	H1650	ESPL1	None
H1650_p70S6K_1_HH_6235821042_A.mean	2	H1650	RPS6KB1	None
H1650_p70S6K_2_HH_6235821042_B.mean	2	H1650	RPS6KB1	None
H1650_p70S6K_3_HH_6235821042_C.mean	2	H1650	RPS6KB1	None
H1650_SRC_1_HH_6235821042_D.mean	2	H1650	SRC	None
H1650_SRC_2_HH_6235821042_E.mean	2	H1650	SRC	None
H1650_SRC_3_HH_6235821042_F.mean	2	H1650	SRC	None
H1650_WDR3_1_HH_6235821042_G.mean	2	H1650	WDR3	None
H1650_WDR3_2_HH_6235821042_H.mean	2	H1650	WDR3	None
H1650_WDR3_3_HH_6235821042_I.mean	2	H1650	WDR3	None
H1650_PRKAA1_1_HH_6235821042_J.mean	2	H1650	PRKAA1	None
H1650_PRKAA1_2_HH_6235821042_K.mean	2	H1650	PRKAA1	None
H1650_PRKAA1_3_HH_6235821042_L.mean	2	H1650	PRKAA1	None
				
				
				
				
				
				
				
				
				
