"","edge","explained.by"
"1","BCL10->EGFR","BCL10->JNK2(MAPK9)->GSK3B->MUC1->EGFR"
"2","EGFR->GSK3A","EGFR->PKC->GSK3A"
"3","EGFR->PIK3C3","EGFR->PIK3C3"
"4","ESPL1->ITGB4","none"
"5","GSK3A->GSK3B","GSK3A->LRP6->GSK3B"
"6","GSK3A->LEPR","GSK3A->HSF1->LEPR"
"7","GSK3A->RPS6KB1","none"
"8","GSK3A->RPS6KA1","none"
"9","GSK3A->TRUB2","none"
"10","GSK3A->TSC2","GSK3A->AKT1->TSC2"
"11","GSK3B->GSK3A","GSK3B->PKC->GSK3A"
"12","ITGB4->PIK3C3","ITGB4->VIL2->SRC1->PIK3C3"
"13","LEPR->GSK3A","LEPR->SRC1->p300->GSK3A"
"14","STK11->GSK3A","none"
"15","MTOR->PIK3C3","MTOR->AKT->EGFR->PIK3C3"
"16","RPS6KB1->PRKAB1","none"
"17","RPS6KA1->GSK3A","none"
"18","PIK3C3->BCL10","PIK3C3->MTOR->AKT->BCL10"
"19","PIK3C3->TSC1","none"
"20","PRKAA1->WDR3","none"
"21","RAF1->MTOR","RAF1->Aurora-A->SRC1->c-Abl->MTOR"
"22","RAF1->SRC","RAF1->MAP2K->GSK3B->SRC"
"23","SRC->RAF1","SRC->ESR1->EGFR->RAF1"
"24","TRUB2->GSK3A","none"
"25","TSC1->GSK3A","none"
"26","TSC2->GSK3A","TSC2->MTOR->AKT->GSK3A"
"27","WDR3->RAF1","none"
