,edge,explained.by,Paths
1,BCL10->EGFR,BCL10->JNK2(MAPK9)->GSK3B->MUC1->EGFR,4
2,EGFR->GSK3A,EGFR->PKC->GSK3A,2
3,EGFR->PIK3C3,EGFR->PIK3C3,1
4,ESPL1->ITGB4,none,NA
5,GSK3A->GSK3B,GSK3A->LRP6->GSK3B,2
6,GSK3A->LEPR,GSK3A->HSF1->LEPR,2
7,GSK3A->RPS6KB1,none,NA
8,GSK3A->RPS6KA1,none,NA
9,GSK3A->TRUB2,none,NA
10,GSK3A->TSC2,GSK3A->AKT1->TSC2,2
11,GSK3B->GSK3A,GSK3B->PKC->GSK3A,2
12,ITGB4->PIK3C3,ITGB4->VIL2->SRC1->PIK3C3,3
13,LEPR->GSK3A,LEPR->SRC1->p300->GSK3A,3
14,STK11->GSK3A,none,NA
15,MTOR->PIK3C3,MTOR->AKT->EGFR->PIK3C3,3
16,RPS6KB1->PRKAB1,none,NA
17,RPS6KA1->GSK3A,none,NA
18,PIK3C3->BCL10,PIK3C3->MTOR->AKT->BCL10,3
19,PIK3C3->TSC1,none,NA
20,PRKAA1->WDR3,none,NA
21,RAF1->MTOR,RAF1->Aurora-A->SRC1->c-Abl->MTOR,4
22,RAF1->SRC,RAF1->MAP2K->GSK3B->SRC,3
23,SRC->RAF1,SRC->ESR1->EGFR->RAF1,3
24,TRUB2->GSK3A,none,NA
25,TSC1->GSK3A,none,NA
26,TSC2->GSK3A,TSC2->MTOR->AKT->GSK3A,3
27,WDR3->RAF1,none,NA
