"","literature.path","explained.by"
"1","MEK1(MAP2K1)->C/EBPalpha","NF"
"2","MEK1(MAP2K1)->MTOR","NF"
"3","MEK1(MAP2K1)->GSK3B","NF"
"4","MEK1(MAP2K1)->NF-kB","NF"
"5","MEK1(MAP2K1)->CREB1","NF"
"6","MEK1(MAP2K1)->ADAM17","NF"
"7","MEK1(MAP2K1)->RelA (p65 NF-kB subunit)","NF"
"8","MEK1(MAP2K1)->PRKAA1","NF"
"9","MEK1(MAP2K1)->SRC","NF"
"10","MEK1(MAP2K1)->ITGB4","NF"
"11","MEK1(MAP2K1)->E2F1","NF"
"12","MEK1(MAP2K1)->STK11","NF"
"13","MEK1(MAP2K1)->SREBP1 (nuclear)","NF"
"14","MEK1(MAP2K1)->FAP-1","NF"
"15","MEK1(MAP2K1)->c-IAP2","NF"
"16","MEK1(MAP2K1)->FOXO3A","NF"
"17","MEK1(MAP2K1)->PKA-cat (cAMP-dependent)","NF"
"18","MEK1(MAP2K1)->RPS6KB1","NF"
"19","MEK1(MAP2K1)->CaMKK2","NF"
"20","MEK1(MAP2K1)->DEPTOR","NF"
"21","MEK1(MAP2K1)->CDK1 (p34)","NF"
"22","MEK1(MAP2K1)->STAT3","NF"
"23","MEK1(MAP2K1)->MLK3(MAP3K11)","NF"
"24","MEK1(MAP2K1)->EGFR","NF"
"25","MEK1(MAP2K1)->p90Rsk","NF"
"26","MEK1(MAP2K1)->GSK3A/beta","NF"
"27","MEK1(MAP2K1)->TSC2","NF"
"28","MEK1(MAP2K1)->NF-AT1(NFATC2)","NF"
"29","MEK1(MAP2K1)->C/EBPbeta","NF"
"30","MEK1(MAP2K1)->c-Abl","NF"
"31","MEK1(MAP2K1)->p300","NF"
"32","MEK1(MAP2K1)->AKT(PKB)","NF"
"33","MEK1(MAP2K1)->BCL10","NF"
"34","MEK1(MAP2K1)->RPS6KA1","NF"
"35","MEK1(MAP2K1)->SRF","NF"
"36","MEK1(MAP2K1)->RACK1","NF"
"37","MEK1(MAP2K1)->ESR1 (nuclear)","NF"
"38","MEK1(MAP2K1)->TSC1","NF"
"39","MEK1(MAP2K1)->NCOA1 (SRC1)","NF"
"40","MEK1(MAP2K1)->MEK2(MAP2K2)","NF"
"41","MEK1(MAP2K1)->Cyclin D","NF"
"42","MEK1(MAP2K1)->HSP40","NF"
"43","MEK1(MAP2K1)->NF-AT2(NFATC1)","NF"
"44","MEK1(MAP2K1)->HNF4-alpha","NF"
"45","MEK1(MAP2K1)->c-Myc","NF"
"46","MEK1(MAP2K1)->NCOA3 (pCIP/SRC3)","NF"
"47","MEK1(MAP2K1)->GCR-alpha","NF"
"48","MEK1(MAP2K1)->Androgen receptor","NF"
"49","MEK1(MAP2K1)->PAX3","NF"
"50","MEK1(MAP2K1)->B-Raf","NF"
"51","MEK1(MAP2K1)->PLK1","NF"
"52","MEK1(MAP2K1)->RAF1","NF"
"53","MEK1(MAP2K1)->RARalpha","NF"
"54","MEK1(MAP2K1)->NRF2","NF"
"55","MEK1(MAP2K1)->ESR2","NF"
"56","MEK1(MAP2K1)->p73","NF"
"57","MEK1(MAP2K1)->NOTCH1 (NICD)","NF"
"58","MEK1(MAP2K1)->AKT1","NF"
"59","MEK1(MAP2K1)->FAK1","NF"
"60","MEK1(MAP2K1)->p70 S6 kinase2","NF"
"61","MEK1(MAP2K1)->IKK-beta","NF"
"62","MEK1(MAP2K1)->Wee1B","NF"
"63","MEK1(MAP2K1)->IQGAP1","NF"
"64","MEK1(MAP2K1)->Cyclin D1","NF"
"65","MEK1(MAP2K1)->PKC-zeta","NF"
"66","MEK1(MAP2K1)->p90RSK2(RPS6KA3)","NF"
"67","MEK1(MAP2K1)->PRKAB1","NF"
"68","MEK1(MAP2K1)->ERK2 (MAPK1)","NF"
