"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
1	"MEK1(MAP2K1)"	"Protein kinase"	"ERK1 (MAPK3)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK1(MAP2K1) interacts with ERK1and activates it."	"1411546;7557021;7601337;8226933;8388392;8626767;8939914;9006895;9182538;9733512;10748187;11134045;11728826;12471242;12748652;14616089;14688022;15657416;16815847;17110930;17321481;18402765;19197339;19651986;20217869"
2	"C/EBPalpha"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative C/EBPalpha binding site is found in gene TSC1 promoter."	"14597398"
3	"mTOR"	"Protein kinase"	"STAT1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"MTOR phosphorylates STAT1 and increases its activity."	"12807916"
4	"GSK3 beta"	"Protein kinase"	"ETS1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"GSK-3{beta}-phosphorylated Ets1 and activates it."	"15123671;17570479"
5	"NF-kB"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"NF-kB can bind to gene Bcl-10 promoter and activates Bcl-10 expression."	"16280327"
6	"CREB1"	"Transcription factor"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"GSK3 alpha promoter has a putative CREB1-binding site."	"7798217;11113543;15753290;16099987"
7	"ADAM17"	"Metalloprotease"	"ITGB4"	"Generic receptor"	"Unspecified"	"Cleavage"	"x"	"TACE slowly cleaves beta4 integrin."	"21750188"
8	"RelA (p65 NF-kB subunit)"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"RelA and RelB bind to the BCL10 promoter."	"22579587"
9	"AMPK alpha 2 subunit"	"Protein kinase"	"AMPK beta1"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"AMPK alpha 2 subunit  phosphorylates AMPK beta1."	"9224708;17608512"
10	"GSK3 beta"	"Protein kinase"	"BMAL1"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3beta phosphorylates BMAL1 specifically on Ser 17 and Thr 21 and primes it for ubiquitylation."	"20049328"
11	"c-Src"	"Protein kinase"	"PI3K cat class III (Vps34)"	"Lipid kinase"	"Activation"	"Phosphorylation"	"x"	"Src directly phosphorylates VPS34, and that this phosphorylation resulted in the activation of VPS34 to mediate cellular transformation."	"20551057"
12	"ITGB4"	"Generic receptor"	"VIL2 (ezrin)"	"Generic binding protein"	"Activation"	"Binding"	"x"	"beta4 integrin interacts with ezrin."	"19597468"
13	"c-Src"	"Protein kinase"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates ESR1 (nuclear) and increases its activity."	"7539106;10454579;11013076;11032808;11564893;12736255;14766010;15140878;15489915;15784253;16945990;17284441;17363140;17400812;17486077;17627304;17921256;21127007"
14	"GSK3 beta"	"Protein kinase"	"MLK3(MAP3K11)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates MLK3(MAP3K11) and increases its activity."	"17570479;17711861;20368287"
15	"E2F1"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"E2F1 directly activates transcription of EGFR"	"20026813"
16	"LKB1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"LKB1 mediates Ser9 phosphorylation of GSK3 beta to inactivate the kinase at the leading process tip of migrating neurons in the developing neocortex."	"20592207;22270359"
17	"c-Src"	"Protein kinase"	"ErbB2"	"Receptor with enzyme activity"	"Activation"	"Phosphorylation"	"x"	"Src phosphorylates ErbB2 in the P loop of the kinase domain, which enhances the kinase activity of ErbB2."	"7542762;11940572;16901776;17030621;17173075;20193126;21075308"
18	"AMPK alpha subunit"	"Protein kinase"	"FOXO3A"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"AMPK alpha subunit phosphorylates FOXO3A and increases its activity."	"17711846;19188143;22006269"
19	"SREBP1 (nuclear)"	"Transcription factor"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"ChIPSeq analysis showed and ChIP-qPCR validated  binding SREBP-1 to the GSK3 alpha promoter in mouse liver."	"18654640;19666523"
20	"FAP-1"	"Generic phosphatase"	"c-Src"	"Protein kinase"	"Inhibition"	"Dephosphorylation"	"x"	"RIL suppresses Src activation by physically linking PTPL1 to Src and consequently promoting pY419 dephosphorylation."	"11983165;19307596;20501847"
21	"CREB1"	"Transcription factor"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Unspecified"	"Transcription regulation"	"x"	"CREB1 can bind to gene Tuberin promoter."	"9831664"
22	"GSK3 beta"	"Protein kinase"	"ESR2"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"GSKbb is an regulator of pSuM targeted sumoylation of ERb across vertebrates."	"22586270"
23	"c-IAP2"	"Generic binding protein"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"In vitro and in vivo interaction studies revealed a direct interaction between C-RAF and c-IAPs. Silencing of c-IAP-1 and c-IAP-2  led to an increase in total C-RAF levels in HeLa cells."	"19011619"
24	"FOXO3A"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"Foxo3a binds to BCl10 promoter and activates it."	"22474286"
25	"GSK3 beta"	"Protein kinase"	"FAK1"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"Interaction of GSK3 beta with FAK1 was shown by using yeast two-hybrid system method ."	"11809746;15975092;16189514;16823799"
26	"ETS"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Potential binding sites for transcription factors AP-1, ETS, Myod, NF-kB, SP1 and CDX1 are found in the promoter of ITGB4 gene."	"9837976;17194617"
